PROMEDIO;STD;APRO_N1;APRO_N2;APRO_N3;APRO_N4;APRO_N5;APRO_N6;APRO_N7;APRO_N8;PERD_N1;PERD_N2;PERD_N3;PERD_N4;PERD_N5;PERD_N6;PERD_N7;PERD_N8;RETIROS;STATUS
12,83;2,65;5;3;1;1;0;0;0;0;1;4;4;3;1;0;0;0;0;1
2,40;1,13;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
15,95;1,59;5;5;6;6;4;1;0;0;1;1;1;0;0;0;0;0;0;1
15,03;0,76;6;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2
14,38;2,71;6;3;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1
14,58;3,04;6;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;1
15,53;1,43;5;5;6;4;1;0;0;0;0;3;1;0;0;0;0;0;0;1
14,75;2,03;7;7;5;4;5;2;0;0;2;4;0;2;0;0;0;0;0;1
16,69;1,48;8;4;6;6;7;5;3;0;0;1;1;0;0;0;0;0;0;1
15,81;1,24;7;6;7;5;6;5;5;7;0;0;0;0;0;3;0;0;0;1
15,45;1,73;8;5;5;1;1;0;0;0;2;0;1;0;0;0;0;0;0;2
13,23;5,58;6;3;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;2
13,75;3,62;7;3;2;0;0;0;0;0;4;4;0;0;0;0;0;0;0;2
16,22;1,22;7;6;7;9;5;5;5;7;0;0;0;0;0;0;0;3;0;1
16,10;1,69;8;4;6;6;7;5;1;1;3;0;0;2;0;0;0;0;0;1
15,87;1,88;8;4;6;6;6;5;3;0;0;1;1;0;1;0;0;0;0;1
13,28;4,37;5;0;0;0;0;1;0;0;3;4;0;0;0;0;0;0;0;1
15,28;2,59;7;6;7;9;5;5;5;6;3;0;0;1;0;0;1;3;0;1
15,76;1,38;5;5;6;6;3;0;0;0;0;1;0;0;0;0;0;0;0;1
14,47;2,97;6;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;1
14,88;1,11;7;6;7;6;5;4;3;0;0;2;1;0;2;0;3;0;0;1
16,14;1,39;7;6;8;8;6;5;5;6;0;0;2;0;0;0;0;1;0;1
10,89;3,84;4;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2
13,52;1,91;4;1;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;2
15,84;1,76;7;6;7;8;6;7;5;6;1;1;0;0;0;0;0;1;0;1
13,14;2,28;4;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;1
15,34;3,09;7;6;7;5;6;5;5;6;3;3;1;1;1;0;1;4;2;1
16,01;1,68;6;7;8;8;6;5;5;5;0;0;0;0;0;0;0;1;1;1
15,03;1,83;8;4;6;6;5;2;0;0;0;2;1;1;3;0;0;0;0;1
13,75;3,15;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
14,24;2,65;6;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2
15,59;1,54;8;5;6;2;5;1;0;1;4;0;0;0;2;0;0;0;0;1
15,23;2,89;7;6;6;5;6;5;5;0;0;1;0;0;5;0;0;0;0;1
14,55;1,07;4;3;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1
15,93;1,61;8;5;6;5;7;5;1;1;3;0;0;2;1;0;0;0;0;1
9,43;5,05;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2
15,38;1,08;7;6;7;5;6;5;5;1;1;1;0;1;1;0;0;0;0;1
14,13;2,44;5;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1
16,39;1,74;6;5;5;3;1;0;0;0;0;1;1;0;0;0;0;0;0;1
11,49;4,75;6;4;1;0;0;0;0;0;4;4;0;0;0;0;0;0;0;2
15,50;0,93;5;5;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
